SampleID	bodycondition	TotalDRmGydCs134forFUKU	ObservedASVs	ShannonIndex	FaithPD	Treatment	TreatmentAll	ApodemusSpeciesTreatment	Replicate	HostSex	Latitude	Longitude	HeadWidthmm	BodyMassg	HostState	HostSpecies	ApodemusSpecies	Study	FBratio
C184	-0.744708795	0.0084	78	4.321732739	5.971579383	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	female	51.212865	30.192893	14.18	17.58	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.065441565
C185	0.023620699	0.0044	187	6.245024088	12.24410602	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.144595	29.952918	15.12	36.81	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	1.434489902
C187	-1.273719899	0.0087	130	4.835520206	9.031726191	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.212865	30.192893	14.84	28.13	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.121026091
C188	-0.775310442	0.3454	210	5.410923337	12.97324228	contaminated	contaminated	FlavicollisHOT	CH1	male	51.385139	30.038926	15.25	32.87	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.274113009
C189	0.101366592	0.2592	172	5.756406542	10.3681798	contaminated	contaminated	FlavicollisHOT	CH1	male	51.378848	29.991848	14.81	35.82	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.244833455
C190	-2.028305338	0.0072	161	5.418348455	9.802149027	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.212865	30.192893	14.3	21.34	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.202417962
C193	-0.388908423	0.3395	182	5.755232471	11.56040378	contaminated	contaminated	FlavicollisHOT	CH1	male	51.385139	30.038926	15.46	36.04	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.149800266
C194	0.100583824	0.3353	182	6.106491587	11.85906719	contaminated	contaminated	FlavicollisHOT	CH1	male	51.385139	30.038926	14.93	36.37	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.246343802
C200	-1.959036119	0.2602	126	4.287295772	8.91943488	contaminated	contaminated	FlavicollisHOT	CH1	male	51.386747	30.063899	13.45	17.87	subad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.133196278
C201	0.003902698	0.256	193	6.005022944	11.41618996	contaminated	contaminated	SylvaticusHOT	CH1	male	51.386747	30.063899	13.24	19.5	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.166666667
C203	-0.46109934	0.2631	149	5.06062922	10.04307918	contaminated	contaminated	SylvaticusHOT	CH1	male	51.386747	30.063899	12.3	15.81	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.100715525
C207	-1.243578944	0.5056	163	4.897066448	10.96328625	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382	29.98898	15.07	29.37	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.196795271
C208	0.252868007	0.895	122	4.575841983	8.541633349	contaminated	contaminated	FlavicollisHOT	CH1	female	51.382	29.98898	16.1	42.63	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.160125942
C209	-0.975694111	0.4753	113	5.062895492	8.828947821	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382	29.98898	15.52	32.99	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.083903754
C210	-0.638149444	0.5718	237	6.073966394	12.56116992	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382	29.98898	14.49	30.13	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.296526698
C211	-0.946614822	0.3218	184	5.72763721	11.42685991	contaminated	contaminated	SylvaticusHOT	CH1	female	51.390412	30.072309	12.84	14.23	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.252929688
C212	0.116356801	0.3395	169	5.73983868	11.52478684	contaminated	contaminated	FlavicollisHOT	CH1	female	51.390412	30.072309	14.56	34.75	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.166839378
C213	0.982147231	0.5321	214	5.884540125	11.85676423	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382	29.98898	13.95	36.85	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.394476784
C214	1.290573123	0.3153	201	6.653110353	11.98243235	contaminated	contaminated	SylvaticusHOT	CH1	female	51.390412	30.072309	13.29	25.86	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.680816058
C215	1.444882609	0.0058	201	6.07096707	12.53207002	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.162931	30.001612	14.07	40.04	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.406210834
C216	-0.513161376	0.0067	151	4.900514104	8.845613912	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.209477	30.186975	14.84	32.46	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.212473819
C217	-0.905388766	0.4843	96	4.402643917	7.839121214	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382	29.98898	14.67	29.44	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.09295416
C219	-0.013771949	0.3199	196	5.496847129	11.58148414	contaminated	contaminated	FlavicollisHOT	CH1	female	51.390412	30.072309	14.24	32.53	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.15580996
C223	0.22164107	0.0074	177	5.393721376	11.09833275	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.209477	30.186975	14.77	36.32	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.363885464
C224	-1.381614533	0.0088	101	4.801022492	7.526631821	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	male	51.209477	30.186975	12.79	12.04	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.054921757
C225	1.313540209	0.0071	124	4.971427568	9.221616085	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.209477	30.186975	13.52	36.72	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.199905982
C226	0.442696166	0.0074	166	4.947718405	11.24755097	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.209477	30.186975	14.18	34.85	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.323221757
C227	-1.166080293	0.3237	141	4.926681436	9.760799923	contaminated	contaminated	SylvaticusHOT	CH1	female	51.390412	30.072309	12.38	12.57	juv	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.102810651
C229	1.150187077	0.3256	243	6.097434908	13.43501699	contaminated	contaminated	FlavicollisHOT	CH1	female	51.390412	30.072309	15.04	42.85	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.849217357
C230	-0.011126345	0.3281	164	5.270587538	11.09798154	contaminated	contaminated	FlavicollisHOT	CH1	female	51.390412	30.072309	14.65	34.44	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.115884008
C231	-0.101031976	0.3174	242	6.254379897	14.45308572	contaminated	contaminated	FlavicollisHOT	CH1	male	51.390412	30.072309	15.47	37.72	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.350682853
C232	0.48386649	0.3115	219	6.035702476	12.56895051	contaminated	contaminated	FlavicollisHOT	CH1	male	51.390412	30.072309	14.3	35.64	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.202235417
C233	0.457678912	0.0065	135	5.290455352	10.3764291	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.20469	30.172673	14.41	36	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.330559168
C234	2.468615539	0.0059	195	5.828200239	12.00935002	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.20469	30.172673	16.93	58.74	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.501191895
C235	1.534360083	0.629	121	5.622818385	8.50967671	contaminated	contaminated	SylvaticusHOT	CH1	female	51.380876	30.028058	11.32	22.5	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.212881838
C236	-0.380608451	0.0063	103	5.288366916	8.13812298	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.20469	30.172673	14.96	33.77	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.144582636
C238	1.230248338	0.7612	125	5.314712522	8.365139239	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382881	30.001564	13.86	37.84	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.095492988
C239	1.08330927	0.0081	160	5.3994425	10.58215449	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.16582	30.01912	13.18	33.82	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.315310106
C240	-1.169995994	0.0081	247	6.237059384	13.12391603	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.3882	30.75294	13.2	21.2	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	3.059187279
C241	-1.524454409	0.0082	193	5.865749612	11.2544419	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.38999	30.74168	13.2	19.2	juv	Flavicollis	ApodemusFlavicollis	Chernobyl	0.176092692
C242	-1.33208949	0.0084	162	5.265442293	10.56029329	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.38896	30.73459	13.6	22.1	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.153768506
C243	-0.640696971	0.008	239	5.90654985	11.44490216	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.3882	30.75294	14.4	29.7	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.53227951
C244	-1.782838864	0.0131	140	5.510667636	9.985576622	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	female	50.38999	30.74168	12.9	16.4	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.116362451
C245	-1.409611202	0.0103	220	5.881580071	11.99086898	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.38896	30.73459	13.3	20.3	subad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.372341924
C249	-0.988240029	0.0075	257	5.824112202	14.69644346	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.38999	30.74168	14.2	26.8	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.834935607
C250	-1.467345468	0.0084	153	5.599332155	10.43259064	uncontaminated	uncontaminatedcontrol	FlavicollisCONTROL	LS	male	50.38896	30.73459	13.9	22.7	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.202251315
C256	0.580182297	0.2966	158	5.772257895	10.30055822	contaminated	contaminated	FlavicollisHOT	CH3	male	51.303169	29.639191	14.8	38.5	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.798573665
C260	-0.26729324	0.4481	162	3.75359576	10.54495447	contaminated	contaminated	FlavicollisHOT	CH3	male	51.297616	29.640897	15	34.6	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	2.442970822
C261	0.411283829	0.4834	153	5.291094864	10.22582331	contaminated	contaminated	FlavicollisHOT	CH3	male	51.29588	29.642288	14.9	38	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.336608684
C262	0.034584181	0.4728	244	6.781607725	13.25071306	contaminated	contaminated	FlavicollisHOT	CH1	male	51.385282	30.041059	16.1	41.4	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	1.063094209
C264	1.235987172	0.375	197	6.129543203	11.72288461	contaminated	contaminated	FlavicollisHOT	CH3	female	51.294682	29.642889	15.6	45.9	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.267474136
C266	-0.20602979	0.461	245	5.946298335	13.70067933	contaminated	contaminated	FlavicollisHOT	CH3	female	51.29588	29.642288	15.4	36.8	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.145590499
C269	0.587691274	0.4669	321	6.262856807	17.06130732	contaminated	contaminated	FlavicollisHOT	CH3	male	51.29588	29.642288	16.6	46.8	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	1.098563536
C270	-0.040890064	0.3667	313	6.348001008	15.79250199	contaminated	contaminated	FlavicollisHOT	CH3	male	51.294682	29.642889	15.5	38.2	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.776744186
C272	-0.650669531	1.1034	240	5.950640925	12.89805664	contaminated	contaminated	FlavicollisHOT	CH1	female	51.382351	30.030332	14	27.8	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.790262833
C288	-0.060755794	0.4673	91	5.424778728	8.277923162	contaminated	contaminated	FlavicollisHOT	CH3	female	51.299806	29.63943	15.2	36.7	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.054098361
C290	-0.989466897	0.2666	115	4.936464604	8.54374745	contaminated	contaminated	FlavicollisHOT	CH3	male	51.303169	29.639191	14.7	29.1	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.052893401
C291	-0.831417876	0.4769	105	5.349906743	9.031441619	contaminated	contaminated	FlavicollisHOT	CH3	female	51.297616	29.640897	14.7	30	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.062429868
C292	1.230678376	0.5121	117	5.580768887	7.498411738	contaminated	contaminated	FlavicollisHOT	CH3	male	51.297616	29.640897	15.3	44.5	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.126222322
C293	0.928571085	0.4618	137	5.362834455	9.797750333	contaminated	contaminated	FlavicollisHOT	CH3	male	51.29588	29.642288	15.5	43.7	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.080008489
