SampleID	bodycondition	TotalDRmGydCs134forFUKU	ObservedASVs	ShannonIndex	FaithPD	Treatment	TreatmentAll	ApodemusSpeciesTreatment	Replicate	HostSex	Latitude	Longitude	HeadWidthmm	BodyMassg	HostState	HostSpecies	ApodemusSpecies	Study	FBratio
F106	-0.922339593	0.3089	181	5.763449172	13.16929755	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59382	140.75655	12.55	13.53	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.248965425
F107	0.759803385	0.2917	233	5.350974817	15.3124012	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59382	140.75655	12.78	19.17	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.25382379
F108	0.722721357	0.1462	194	5.562372754	12.49959249	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59005	140.78877	12.35	18.36	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.224987975
F109	0.145987239	0.1474	377	7.330982808	17.34194592	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59005	140.78877	12.28	16.44	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.956053812
F11	-0.878748578	0.1296	314	6.867066842	14.76848994	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.49124	140.93671	16.04	41.57	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.022010708
F110	3.848968339	0.3451	329	6.372371459	15.72716821	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59382	140.75655	12.86	28.96	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	6.08398024
F111	0.038894988	0.3002	339	6.962268115	16.23379463	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59382	140.75655	15.51	42.21	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	3.06547619
F112	-2.793647079	0.2213	285	6.19500485	14.80469998	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59507	140.78105	17.89	20.58	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.471285983
F113	-0.194056556	0.1806	199	5.130814084	12.10968537	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59985	140.7361	11.83	14.65	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.196563981
F114	0.292041474	0.2492	313	6.899227868	15.51489437	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59911	140.74387	15.63	44.47	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.339644424
F116	0.202004593	0.2398	228	6.135418119	14.12124885	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.57323	140.75171	15.67	44.31	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.859225513
F117	-1.55484919	0.234	254	6.342492703	14.77469722	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.57323	140.75171	15.74	35.67	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.306825626
F118	1.167363708	0.2573	261	5.843640607	13.97691594	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.58554	140.74631	12.22	19.54	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.738690793
F119	0.584513476	0.2466	242	6.284725557	13.47319525	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59373	140.74382	15.02	41.24	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.731741821
F12	-0.103573401	0.1572	215	6.168791671	13.3754363	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.50537	140.92462	16.03	45.52	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.362672176
F120	-0.693403559	0.2221	238	5.682664885	13.83421468	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.57323	140.75171	15.01	34.49	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.593385827
F121	1.744476982	0.1819	334	6.347784362	18.08316104	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59985	140.7361	12.21	21.33	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	2.548219585
F122	0.380023857	0.1787	224	6.434931354	12.54982703	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59985	140.7361	12.86	18.11	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.639615076
F123	0.434375982	0.2636	235	6.381976355	12.34529255	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.5983	140.75299	12.86	18.28	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.816757613
F124	0.564444187	0.1803	334	6.931966873	17.00933346	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59985	140.7361	12.7	18.43	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.060794045
F125	1.789472395	0.2443	289	6.191059969	16.1251256	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59373	140.74382	15.17	48.72	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.300320627
F126	0.220996666	0.181	260	6.502143271	13.69388073	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59985	140.7361	15.03	39.42	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.862016965
F127	0.070870136	0.2513	120	3.805007075	9.942637649	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59911	140.74387	15.01	38.48	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.038007191
F128	0.182970984	0.2475	315	7.242397196	16.38482813	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59911	140.74387	12.11	16.28	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.018853103
F13	0.634485182	0.13	255	6.603683546	13.6606217	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.4824	140.94315	14.5	37.4	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.741578683
F130	0.038164799	0.2231	220	6.171483713	13.7610341	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.57323	140.75171	16.71	51.55	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.705057153
F132	-0.605282939	0.2551	235	6.048605066	13.73976647	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.5983	140.75299	12.48	14.41	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.339754038
F133	-0.752184252	0.1928	269	6.779418854	12.76890246	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59985	140.7361	14.95	33.72	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.668253447
F134	-1.535181795	0.1789	200	6.1399999	10.631324	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59985	140.7361	11.92	10.61	juv	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.582457743
F135	0.231830141	0.1843	277	6.867450323	14.76985079	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59985	140.7361	12.67	17.34	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.854993983
F136	0.453994081	0.2673	213	5.371188343	12.47924275	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.59373	140.74382	15.62	45.24	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	6.585596222
F137	-2.09753207	0.2524	174	5.989180031	9.849668221	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.5983	140.75299	11.09	7.65	juv	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	2.816168328
F139	-1.198415205	0.2073	172	5.373918317	11.63038301	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.59373	140.74382	14.9	31.01	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.08100771
F140	-0.271165271	0.2481	427	7.56468909	18.2738114	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59911	140.74387	13.03	16.35	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.673760776
F141	0.455535787	0.2308	218	6.098610972	13.09346792	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.57323	140.75171	12.62	17.96	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	2.184646465
F142	-1.794416375	0.2575	198	5.847800176	11.74773591	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.5983	140.75299	12.01	9.94	juv	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.652825273
F15	-0.268140708	0.141	275	6.76124693	14.39511321	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.50769	140.94528	14.68	34.15	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.119037657
F16	-0.991842609	0.1936	226	6.255706817	13.01349712	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.47742	140.93903	14.66	30.25	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	2.650140318
F17	-0.164165909	0.1295	222	6.415820291	12.97435934	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.51256	140.93912	15.16	38.42	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.470399605
F18	-0.419599407	0.1943	273	6.441442506	14.52915863	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.47742	140.93903	16.08	44.27	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.473507517
F19	-0.79054201	0.1302	234	6.203217635	12.66942336	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.4824	140.94315	15.65	38.96	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.242349151
F21	-0.639202422	0.1145	295	6.431086178	14.06670381	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.57284	140.79303	14.74	32.69	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.056301653
F22	0.206925498	0.0892	182	6.010924516	10.79219918	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.49512	140.94138	14.68	36.61	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.140437158
F23	-0.540058625	0.0891	211	6.112012621	12.1822612	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.49512	140.94138	14.79	33.59	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.105059203
F24	-1.283276821	0.1982	219	5.118999901	13.63864444	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.50676	140.90994	15.38	34.27	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	3.565850816
F25	2.080086142	0.1143	215	6.015197721	13.87795836	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.57284	140.79303	15.52	52.98	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.091024154
F26	-0.293202706	0.1278	213	6.047133677	13.46831543	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.57284	140.79303	16.18	45.71	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.361205041
F27	-1.659581895	0.116	364	7.000724903	17.1105736	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.57284	140.79303	15.59	33.94	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.030035336
F28	0.951936961	0.1665	170	5.102377559	12.12777468	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.50537	140.92462	16.68	55.94	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.207059108
F29	-0.699010852	0.125	242	6.134273943	14.85914831	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.51193	140.93265	15.05	34.77	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.176522313
F3	0.225285774	0.17	351	6.883048859	17.01650509	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.50537	140.92462	15.54	43.42	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	2.519931271
F30	-0.891023357	0.1009	215	6.33632798	11.84795863	contaminated	contaminated	ArgenteusSmallHOT	FH2	female	37.502	140.93102	11.92	12.62	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.229288341
F31	2.169155735	0.1333	347	7.34270966	16.83258881	contaminated	contaminated	SpeciosusLargeHOT	FH1	female	37.57284	140.79303	13.6	37.66	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	5.500320308
F32	-1.585793227	0.0885	225	6.184410756	13.40293809	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.49512	140.94138	15.85	36.38	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.341129568
F33	-0.684003447	0.1025	218	6.341949095	13.26690667	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.502	140.93102	15.58	38.97	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.673517921
F34	-0.461644448	0.1357	332	7.153210677	16.30686891	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.50676	140.93127	14.97	35.39	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	4.367336152
F35	0.058335639	0.1354	160	5.584441785	9.468265365	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.50676	140.93127	15.18	39.74	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.155933711
F36	1.537609899	0.1153	242	6.432030866	12.99640035	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.50836	140.92271	16.27	55.86	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.443354655
F37	1.330707678	0.1193	211	5.594644791	13.01428623	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.51117	140.92709	15.88	51.83	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.493735617
F38	-1.6067128	0.0208	264	6.547111702	14.21555926	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.46447	140.75529	15.24	31.49	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.612327656
F39	0.973984961	0.0284	211	6.072096563	13.022821	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.4763	140.76115	14.72	40.9	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.649358974
F4	0.950224454	0.1247	229	5.832526274	13.65315163	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.51193	140.93265	15.93	50.23	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.234168242
F40	1.634928171	0.0204	290	6.792416717	16.56075794	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.46447	140.75529	14.86	45.45	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.527141512
F41	2.410294501	0.0152	182	4.99547719	11.24467301	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.47	140.73604	16.06	58.81	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.256654221
F42	0.941119466	0.0163	248	6.482605879	14.63259231	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.48653	140.72197	16	50.72	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.358384825
F43	0.579508503	0.0205	280	6.239012078	15.29349162	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.46447	140.75529	14.98	40.9	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.55363841
F44	1.081563796	0.2656	155	5.627071849	11.2914939	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.51078	140.89391	16.03	51.68	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.083253589
F45	0.25690591	0.2638	210	5.702837857	12.80853478	contaminated	contaminated	ArgenteusSmallHOT	FH2	male	37.51078	140.89391	12.14	16.56	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.244003916
F46	2.290032398	0.3507	225	6.531315273	13.45873062	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.51078	140.89391	15.91	57.06	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	1.134355275
F47	-0.455232349	0.3084	173	5.524976778	10.43161791	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.5132	140.88737	15.85	42.28	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.454788356
F48	0.097166123	0.257	213	5.882842611	13.02307311	contaminated	contaminated	SpeciosusLargeHOT	FH2	male	37.52918	140.87253	16	46.33	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	2.534075104
F49	0.987669924	0.0289	142	5.876647889	10.63007299	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.4763	140.76115	15.85	49.81	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.232094073
F5	-0.283948593	0.13	310	6.828142994	14.22722179	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.4824	140.94315	15.22	38.26	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.809515356
F50	-1.804746176	0.0179	106	4.387009377	7.833066696	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.4292	140.72585	11.29	8.83	juv	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.106089744
F51	1.445949476	0.022	212	6.194466351	12.32218755	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.41647	140.73979	12.55	20.95	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.284254586
F52	-0.932903481	0.0207	170	5.509160548	11.36585267	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.46447	140.75529	15.36	35.95	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.059836901
F53	-1.002646905	0.0199	139	5.34747632	9.874167842	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.49343	140.71518	15.88	39.66	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.020296107
F55	0.180268618	0.028	293	6.552534995	17.8003024	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	male	37.4763	140.76115	12.77	17.34	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.677081602
F56	-1.464357895	0.0207	162	5.885664047	11.34039562	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.46447	140.75529	14.86	29.32	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	3.613589568
F57	-0.829186208	0.0194	146	5.429809337	10.38681426	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.49343	140.71518	15.33	36.26	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.059501939
F58	-0.473124173	0.0213	258	6.081760736	14.59901646	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.46447	140.75529	15.01	35.64	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.197988354
F59	-0.10646517	0.0281	256	5.897232375	15.03570016	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	female	37.4763	140.76115	12.54	16.07	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.213041374
F60	-0.156525191	0.0125	197	4.875087497	11.1139992	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.43752	140.69667	15.3	39.55	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.236239074
F61	0.617895215	0.0126	310	6.975583501	15.87572577	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.43752	140.69667	11.83	17.18	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.486357039
F62	-0.297569394	0.0201	164	5.301499815	11.77786077	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.49343	140.71518	16.04	44.59	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.364538043
F63	0.446438634	0.0284	299	6.722898968	17.81732392	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.4763	140.76115	14.89	39.5	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.457336726
F64	-1.868488289	0.0196	182	5.474190409	10.39195481	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.4292	140.72585	12.26	10.1	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.085827925
F65	0.559872391	0.0125	279	6.447965026	16.32135263	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.43752	140.69667	12.74	18.48	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.310215679
F66	-0.313046452	0.0205	190	5.703368809	12.43679424	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	male	37.46447	140.75529	14.95	36.01	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.220083975
F67	-0.804838461	0.0174	199	5.461012241	11.87347194	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL2	female	37.48653	140.72197	15.46	37.4	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.169946333
F68	0.080717077	0.0204	240	5.458803602	13.58310069	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	male	37.49343	140.71518	12.87	17.19	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.22481369
F69	0.837236809	0.0179	282	6.075167258	15.02200589	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.4292	140.72585	12.4	18.8	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.566596998
F7	1.30437199	0.1312	358	7.010527292	18.09615534	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.51256	140.93912	15.31	47.28	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.784097287
F70	-0.48227265	0.0204	281	6.747938186	14.10729555	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	female	37.49343	140.71518	12.21	14.36	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.405423729
F72	-0.564456027	0.017	226	6.300883986	12.77931194	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	male	37.38243	140.71677	15.85	41.71	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.254065821
F73	-0.730007472	0.0085	309	6.630448727	14.28407075	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.43051	140.70055	13.72	16.07	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.639161924
F74	-0.728139357	0.0116	171	4.858354409	10.22252832	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.38782	140.7052	16.31	44.49	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.112901421
F75	0.347563245	0.0074	266	6.43334158	15.91267772	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.39396	140.69687	12.23	16.99	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.743800112
F76	0.209479583	0.008	240	5.708622903	13.77163991	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	male	37.40437	140.66678	12.67	17.27	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.16134435
F77	-0.825877621	0.0068	141	5.421619172	9.577630488	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.40066	140.67154	15.51	37.68	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.025453482
F78	0.396346312	0.0079	234	6.44877573	14.11511971	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	male	37.40437	140.66678	12.58	17.71	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.501592115
F79	0.420137956	0.0082	159	5.208536408	11.56417999	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.35778	140.81195	15.03	40.46	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.17958627
F8	1.100427878	0.14	296	6.708561	13.35527389	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.50769	140.94528	14.96	43.46	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	4.401368301
F80	0.164161023	0.007	238	5.859279036	13.3150374	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.40066	140.67154	12.06	16.14	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.200023164
F82	0.593072095	0.0082	172	5.170931961	12.33610721	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	male	37.40437	140.66678	12.75	18.6	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.116787531
F83	-0.260367126	0.008	259	6.391071254	14.30306974	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.40437	140.66678	11.94	14.62	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.4853364
F84	-0.000499626	0.012	336	7.104951715	16.54785338	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	male	37.38782	140.7052	12.65	16.58	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.119991739
F85	-1.285500928	0.0117	234	6.26770843	12.48203002	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	male	37.38782	140.7052	12.08	11.64	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.939724455
F86	1.856253025	0.0074	193	5.289416455	12.1996649	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.39396	140.69687	15.03	47.96	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.3797023
F87	0.752646348	0.0173	286	6.655103401	13.20399929	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL1	female	37.38243	140.71677	12.36	18.47	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	20.07867495
F88	-0.462583562	0.0169	212	5.97847423	12.0402309	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.38243	140.71677	14.52	31.91	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.143279658
F89	0.669921754	0.0172	228	6.410387896	11.92218898	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.38243	140.71677	14.92	40.9	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.178320887
F9	-2.058976166	0.1947	165	5.58706831	10.13752601	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.47742	140.93903	15.15	28.43	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.086593692
F90	-0.58386984	0.0168	244	6.01705044	12.27833374	uncontaminated	uncontaminated	SpeciosusLargeCLEAN	FL1	female	37.39804	140.68048	15.55	39.26	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.183613255
F91	-0.293977157	0.3893	323	6.334674497	16.83287501	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.56097	140.82707	12.26	15.03	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.396567299
F92	0.555960761	0.4002	220	5.79072108	13.13904262	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.55349	140.8349	15.36	43.75	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.326460041
F93	0.083643697	0.4046	248	5.496734819	14.10167349	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.55349	140.8349	16.27	48.36	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.223187619
F94	0.144677063	0.0077	233	6.314446294	12.6367931	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	male	37.45852	140.59079	12.19	16.29	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.299812282
