SampleID	AmbientRadiation	Treatment	TreatmentAll	Replicate	HostSex	HostHeadW	HostBodyM	HostSpecies	Study
189	10.06	contaminated	contaminated	CH1	female	13.86	27.54	MyodesGlareolus	Chernobyl
193	16.32	contaminated	contaminated	CH3	female	12.91	22.41	MyodesGlareolus	Chernobyl
194	19	contaminated	contaminated	CH3	male	13.55	26.2	MyodesGlareolus	Chernobyl
195	19	contaminated	contaminated	CH3	male	12.77	24.38	MyodesGlareolus	Chernobyl
196	15	contaminated	contaminated	CH3	male	12.97	24.32	MyodesGlareolus	Chernobyl
197	16.32	contaminated	contaminated	CH3	female	13.13	25.54	MyodesGlareolus	Chernobyl
198	19	contaminated	contaminated	CH3	male	12.96	20.11	MyodesGlareolus	Chernobyl
200	18.59	contaminated	contaminated	CH3	female	13.08	36.61	MyodesGlareolus	Chernobyl
201	15	contaminated	contaminated	CH3	female	11.86	19.82	MyodesGlareolus	Chernobyl
202	15	contaminated	contaminated	CH3	male	12.9	19.14	MyodesGlareolus	Chernobyl
203	17	contaminated	contaminated	CH3	male	13.46	26.45	MyodesGlareolus	Chernobyl
204	15	contaminated	contaminated	CH3	female	12.7	27.7	MyodesGlareolus	Chernobyl
206	19	contaminated	contaminated	CH3	male	13.4	31.3	MyodesGlareolus	Chernobyl
207	22.07	contaminated	contaminated	CH2	male	12.31	26.09	MyodesGlareolus	Chernobyl
213	58.5	contaminated	contaminated	CH2	female	12.94	20.21	MyodesGlareolus	Chernobyl
215	58.5	contaminated	contaminated	CH2	male	12.52	21.01	MyodesGlareolus	Chernobyl
218	95.42	contaminated	contaminated	CH2	female	13.06	32.82	MyodesGlareolus	Chernobyl
226	58.5	contaminated	contaminated	CH2	female	12.49	24.35	MyodesGlareolus	Chernobyl
242	16.77	contaminated	contaminated	CH2	male	12.33	16.25	MyodesGlareolus	Chernobyl
248	12.02	contaminated	contaminated	CH2	female	13.72	26.65	MyodesGlareolus	Chernobyl
249	25.42	contaminated	contaminated	CH2	female	13.43	24.28	MyodesGlareolus	Chernobyl
253	22.23	contaminated	contaminated	CH2	male	12.29	22.32	MyodesGlareolus	Chernobyl
254	22.23	contaminated	contaminated	CH2	male	12.08	24.06	MyodesGlareolus	Chernobyl
255	27.09	contaminated	contaminated	CH2	male	12.86	22.96	MyodesGlareolus	Chernobyl
259	16.77	contaminated	contaminated	CH2	female	12.77	28.36	MyodesGlareolus	Chernobyl
260	22.07	contaminated	contaminated	CH2	male	13.35	24.56	MyodesGlareolus	Chernobyl
276	10	contaminated	contaminated	CH2	female	13.28	26.78	MyodesGlareolus	Chernobyl
279	15.6	contaminated	contaminated	CH2	male	12.62	21.94	MyodesGlareolus	Chernobyl
285	15.73	contaminated	contaminated	CH2	male	13.06	24.86	MyodesGlareolus	Chernobyl
294	10	contaminated	contaminated	CH2	male	13.9	27.46	MyodesGlareolus	Chernobyl
299	10	contaminated	contaminated	CH2	female	12.77	22.56	MyodesGlareolus	Chernobyl
301	17.87	contaminated	contaminated	CH2	female	12.94	28	MyodesGlareolus	Chernobyl
305	25.42	contaminated	contaminated	CH2	female	12.68	23.86	MyodesGlareolus	Chernobyl
311	0.12	uncontaminated	uncontaminated	CL1	male	12.09	22.46	MyodesGlareolus	Chernobyl
313	0.12	uncontaminated	uncontaminated	CL1	male	12.28	28.96	MyodesGlareolus	Chernobyl
314	0.12	uncontaminated	uncontaminated	CL1	female	12.87	23.35	MyodesGlareolus	Chernobyl
315	0.16	uncontaminated	uncontaminated	CL2	female	13.28	31.79	MyodesGlareolus	Chernobyl
316	0.18	uncontaminated	uncontaminated	CL1	female	13.57	33.75	MyodesGlareolus	Chernobyl
319	0.55	uncontaminated	uncontaminated	CL2	female	12.43	19.55	MyodesGlareolus	Chernobyl
320	0.12	uncontaminated	uncontaminated	CL1	female	12.68	20.64	MyodesGlareolus	Chernobyl
326	0.26	uncontaminated	uncontaminated	CL1	female	12.79	17.76	MyodesGlareolus	Chernobyl
330	0.16	uncontaminated	uncontaminated	CL2	female	12.71	29.43	MyodesGlareolus	Chernobyl
K10	0.15	uncontaminatedcontrol	uncontaminated	RS	male	12.51	23.54	MyodesGlareolus	Chernobyl
K11	0.15	uncontaminatedcontrol	uncontaminated	RS	female	12.23	22.32	MyodesGlareolus	Chernobyl
K17	0.15	uncontaminatedcontrol	uncontaminated	RS	female	12.54	27.65	MyodesGlareolus	Chernobyl
K21	0.15	uncontaminatedcontrol	uncontaminated	RS	female	12.02	14.54	MyodesGlareolus	Chernobyl
K24	0.15	uncontaminatedcontrol	uncontaminated	RS	female	12.77	26.75	MyodesGlareolus	Chernobyl
K25	0.15	uncontaminatedcontrol	uncontaminated	RS	male	11.76	21.9	MyodesGlareolus	Chernobyl
K26	0.15	uncontaminatedcontrol	uncontaminated	RS	male	11.83	17.86	MyodesGlareolus	Chernobyl
K3	0.15	uncontaminatedcontrol	uncontaminated	RS	male	12.94	24.75	MyodesGlareolus	Chernobyl
K31	0.15	uncontaminatedcontrol	uncontaminated	RS	female	12.72	24.07	MyodesGlareolus	Chernobyl
K36	0.15	uncontaminatedcontrol	uncontaminated	RS	male	11.53	19.53	MyodesGlareolus	Chernobyl
K38	0.15	uncontaminatedcontrol	uncontaminated	RS	female	12.91	18.47	MyodesGlareolus	Chernobyl
K46	0.15	uncontaminatedcontrol	uncontaminated	RS	male	11.73	17	MyodesGlareolus	Chernobyl
K48	0.15	uncontaminatedcontrol	uncontaminated	RS	male	12.66	24.94	MyodesGlareolus	Chernobyl
K51	0.15	uncontaminatedcontrol	uncontaminated	RS	female	13.71	29.76	MyodesGlareolus	Chernobyl
K54	0.15	uncontaminatedcontrol	uncontaminated	RS	female	13.68	24.47	MyodesGlareolus	Chernobyl
K55	0.52	uncontaminatedcontrol	uncontaminated	LS	female	12.53	24.43	MyodesGlareolus	Chernobyl
K57	0.55	uncontaminatedcontrol	uncontaminated	LS	female	13.11	33.74	MyodesGlareolus	Chernobyl
K58	0.55	uncontaminatedcontrol	uncontaminated	LS	male	11.99	16.26	MyodesGlareolus	Chernobyl
K59	0.55	uncontaminatedcontrol	uncontaminated	LS	female	13.21	23.26	MyodesGlareolus	Chernobyl
K6	0.15	uncontaminatedcontrol	uncontaminated	RS	male	11.93	19.65	MyodesGlareolus	Chernobyl
K62	0.55	uncontaminatedcontrol	uncontaminated	LS	female	13.04	23.1	MyodesGlareolus	Chernobyl
K63	0.55	uncontaminatedcontrol	uncontaminated	LS	female	13.34	23.48	MyodesGlareolus	Chernobyl
K65	0.55	uncontaminatedcontrol	uncontaminated	LS	male	12.81	20.62	MyodesGlareolus	Chernobyl
K66	0.55	uncontaminatedcontrol	uncontaminated	LS	male	11.48	14.86	MyodesGlareolus	Chernobyl
K67	0.52	uncontaminatedcontrol	uncontaminated	LS	female	12.29	18.1	MyodesGlareolus	Chernobyl
K68	0.55	uncontaminatedcontrol	uncontaminated	LS	female	13.01	24.3	MyodesGlareolus	Chernobyl
K69	0.55	uncontaminatedcontrol	uncontaminated	LS	female	12.76	23.14	MyodesGlareolus	Chernobyl
