SampleID	AmbientRadiation	Treatment	TreatmentAll	Replicate	HostSex	HostHeadW	HostBodyM	HostSpecies	Study
KC41	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.49	18.55	ApodemusSylvaticus	Chernobyl
C131	15	contaminated	contaminated	CH2	female	13.35	18.4	ApodemusSylvaticus	Chernobyl
C133	16.79	contaminated	contaminated	CH2	male	12.97	22.75	ApodemusSylvaticus	Chernobyl
C201	10	contaminated	contaminated	CH1	male	13.24	19.5	ApodemusSylvaticus	Chernobyl
C203	10	contaminated	contaminated	CH1	male	12.3	15.81	ApodemusSylvaticus	Chernobyl
C211	12.8545	contaminated	contaminated	CH1	female	12.84	14.23	ApodemusSylvaticus	Chernobyl
C214	12.8545	contaminated	contaminated	CH1	female	13.29	25.86	ApodemusSylvaticus	Chernobyl
C227	12.8545	contaminated	contaminated	CH1	female	12.38	12.57	ApodemusSylvaticus	Chernobyl
C235	24.1725	contaminated	contaminated	CH1	female	11.32	22.5	ApodemusSylvaticus	Chernobyl
C295	11	contaminated	contaminated	CH3	female	13.1	18	ApodemusSylvaticus	Chernobyl
C298	10.6425	contaminated	contaminated	CH1	female	12.01	10.15	ApodemusSylvaticus	Chernobyl
C310	11	contaminated	contaminated	CH3	male	13.12	13.6	ApodemusSylvaticus	Chernobyl
C317	18.59	contaminated	contaminated	CH3	female	13.4	20.01	ApodemusSylvaticus	Chernobyl
C360	6.01	contaminated	contaminated	CH1	male	13.42	16.34	ApodemusSylvaticus	Chernobyl
F100	0.437666667	uncontaminated	uncontaminated	FL2	female	11.79	17.21	ApodemusArgenteusSmall	Fukushima
F101	0.437666667	uncontaminated	uncontaminated	FL2	male	12.47	17.4	ApodemusArgenteusSmall	Fukushima
F50	0.709666667	uncontaminated	uncontaminated	FL1	female	11.29	8.83	ApodemusArgenteusSmall	Fukushima
F51	0.896	uncontaminated	uncontaminated	FL1	female	12.55	20.95	ApodemusArgenteusSmall	Fukushima
F55	1.1235	uncontaminated	uncontaminated	FL2	male	12.77	17.34	ApodemusArgenteusSmall	Fukushima
F59	1.1235	uncontaminated	uncontaminated	FL2	female	12.54	16.07	ApodemusArgenteusSmall	Fukushima
F61	0.499083333	uncontaminated	uncontaminated	FL1	female	11.83	17.18	ApodemusArgenteusSmall	Fukushima
F64	0.709666667	uncontaminated	uncontaminated	FL1	female	12.26	10.1	ApodemusArgenteusSmall	Fukushima
F65	0.499083333	uncontaminated	uncontaminated	FL1	female	12.74	18.48	ApodemusArgenteusSmall	Fukushima
F68	0.805833333	uncontaminated	uncontaminated	FL2	male	12.87	17.19	ApodemusArgenteusSmall	Fukushima
F69	0.709666667	uncontaminated	uncontaminated	FL1	female	12.4	18.8	ApodemusArgenteusSmall	Fukushima
F70	0.805833333	uncontaminated	uncontaminated	FL2	female	12.21	14.36	ApodemusArgenteusSmall	Fukushima
F73	0.317083333	uncontaminated	uncontaminated	FL1	female	13.72	16.07	ApodemusArgenteusSmall	Fukushima
F75	0.296	uncontaminated	uncontaminated	FL1	female	12.23	16.99	ApodemusArgenteusSmall	Fukushima
F76	0.3175	uncontaminated	uncontaminated	FL1	male	12.67	17.27	ApodemusArgenteusSmall	Fukushima
F78	0.3175	uncontaminated	uncontaminated	FL1	male	12.58	17.71	ApodemusArgenteusSmall	Fukushima
F80	0.276833333	uncontaminated	uncontaminated	FL1	female	12.06	16.14	ApodemusArgenteusSmall	Fukushima
F82	0.3175	uncontaminated	uncontaminated	FL1	male	12.75	18.6	ApodemusArgenteusSmall	Fukushima
F83	0.3175	uncontaminated	uncontaminated	FL1	female	11.94	14.62	ApodemusArgenteusSmall	Fukushima
F84	0.47675	uncontaminated	uncontaminated	FL1	male	12.65	16.58	ApodemusArgenteusSmall	Fukushima
F85	0.47675	uncontaminated	uncontaminated	FL1	male	12.08	11.64	ApodemusArgenteusSmall	Fukushima
F87	0.695166667	uncontaminated	uncontaminated	FL1	female	12.36	18.47	ApodemusArgenteusSmall	Fukushima
F94	0.298916667	uncontaminated	uncontaminated	FL2	male	12.19	16.29	ApodemusArgenteusSmall	Fukushima
F98	0.298916667	uncontaminated	uncontaminated	FL2	female	12.38	14.09	ApodemusArgenteusSmall	Fukushima
F99	0.398333333	uncontaminated	uncontaminated	FL2	male	12.64	18.7	ApodemusArgenteusSmall	Fukushima
F103	11.8845	contaminated	contaminated	FH1	female	13.16	15.74	ApodemusArgenteusSmall	Fukushima
F104	8.879083333	contaminated	contaminated	FH1	female	12.8	13.83	ApodemusArgenteusSmall	Fukushima
F105	9.590833333	contaminated	contaminated	FH1	male	12.05	15.35	ApodemusArgenteusSmall	Fukushima
F106	11.8845	contaminated	contaminated	FH1	male	12.55	13.53	ApodemusArgenteusSmall	Fukushima
F107	11.8845	contaminated	contaminated	FH1	male	12.78	19.17	ApodemusArgenteusSmall	Fukushima
F108	5.8275	contaminated	contaminated	FH1	female	12.35	18.36	ApodemusArgenteusSmall	Fukushima
F109	5.8275	contaminated	contaminated	FH1	male	12.28	16.44	ApodemusArgenteusSmall	Fukushima
F110	11.8845	contaminated	contaminated	FH1	female	12.86	28.96	ApodemusArgenteusSmall	Fukushima
F112	8.457333333	contaminated	contaminated	FH1	female	17.89	20.58	ApodemusArgenteusSmall	Fukushima
F113	7.355083333	contaminated	contaminated	FH1	male	11.83	14.65	ApodemusArgenteusSmall	Fukushima
F118	10.06791667	contaminated	contaminated	FH1	female	12.22	19.54	ApodemusArgenteusSmall	Fukushima
F121	7.355083333	contaminated	contaminated	FH1	female	12.21	21.33	ApodemusArgenteusSmall	Fukushima
F122	7.355083333	contaminated	contaminated	FH1	male	12.86	18.11	ApodemusArgenteusSmall	Fukushima
F123	10.39025	contaminated	contaminated	FH1	female	12.86	18.28	ApodemusArgenteusSmall	Fukushima
F124	7.355083333	contaminated	contaminated	FH1	male	12.7	18.43	ApodemusArgenteusSmall	Fukushima
F128	10.0775	contaminated	contaminated	FH1	female	12.11	16.28	ApodemusArgenteusSmall	Fukushima
F132	10.39025	contaminated	contaminated	FH1	female	12.48	14.41	ApodemusArgenteusSmall	Fukushima
F134	7.355083333	contaminated	contaminated	FH1	female	11.92	10.61	ApodemusArgenteusSmall	Fukushima
F135	7.355083333	contaminated	contaminated	FH1	male	12.67	17.34	ApodemusArgenteusSmall	Fukushima
F137	10.39025	contaminated	contaminated	FH1	female	11.09	7.65	ApodemusArgenteusSmall	Fukushima
F140	10.0775	contaminated	contaminated	FH1	female	13.03	16.35	ApodemusArgenteusSmall	Fukushima
F141	8.970083333	contaminated	contaminated	FH1	female	12.62	17.96	ApodemusArgenteusSmall	Fukushima
F142	10.39025	contaminated	contaminated	FH1	female	12.01	9.94	ApodemusArgenteusSmall	Fukushima
F30	4.179583333	contaminated	contaminated	FH2	female	11.92	12.62	ApodemusArgenteusSmall	Fukushima
F45	10.78275	contaminated	contaminated	FH2	male	12.14	16.56	ApodemusArgenteusSmall	Fukushima
F91	15.595	contaminated	contaminated	FH1	male	12.26	15.03	ApodemusArgenteusSmall	Fukushima
F96	16.705	contaminated	contaminated	FH1	female	11.87	14.1	ApodemusArgenteusSmall	Fukushima
F97	13.98583333	contaminated	contaminated	FH1	male	12.43	16.79	ApodemusArgenteusSmall	Fukushima
F38	0.8425	uncontaminated	uncontaminated	FL2	female	15.24	31.49	ApodemusSpeciosusLarge	Fukushima
F39	1.1235	uncontaminated	uncontaminated	FL2	female	14.72	40.9	ApodemusSpeciosusLarge	Fukushima
F40	0.8425	uncontaminated	uncontaminated	FL2	female	14.86	45.45	ApodemusSpeciosusLarge	Fukushima
F41	0.6195	uncontaminated	uncontaminated	FL2	female	16.06	58.81	ApodemusSpeciosusLarge	Fukushima
F42	0.658083333	uncontaminated	uncontaminated	FL2	male	16	50.72	ApodemusSpeciosusLarge	Fukushima
F43	0.8425	uncontaminated	uncontaminated	FL2	male	14.98	40.9	ApodemusSpeciosusLarge	Fukushima
F49	1.1235	uncontaminated	uncontaminated	FL2	male	15.85	49.81	ApodemusSpeciosusLarge	Fukushima
F52	0.8425	uncontaminated	uncontaminated	FL2	female	15.36	35.95	ApodemusSpeciosusLarge	Fukushima
F53	0.805833333	uncontaminated	uncontaminated	FL2	male	15.88	39.66	ApodemusSpeciosusLarge	Fukushima
F56	0.8425	uncontaminated	uncontaminated	FL2	female	14.86	29.32	ApodemusSpeciosusLarge	Fukushima
F57	0.805833333	uncontaminated	uncontaminated	FL2	male	15.33	36.26	ApodemusSpeciosusLarge	Fukushima
F58	0.8425	uncontaminated	uncontaminated	FL2	female	15.01	35.64	ApodemusSpeciosusLarge	Fukushima
F60	0.499083333	uncontaminated	uncontaminated	FL1	female	15.3	39.55	ApodemusSpeciosusLarge	Fukushima
F62	0.805833333	uncontaminated	uncontaminated	FL2	male	16.04	44.59	ApodemusSpeciosusLarge	Fukushima
F63	1.1235	uncontaminated	uncontaminated	FL2	male	14.89	39.5	ApodemusSpeciosusLarge	Fukushima
F66	0.8425	uncontaminated	uncontaminated	FL2	male	14.95	36.01	ApodemusSpeciosusLarge	Fukushima
F67	0.658083333	uncontaminated	uncontaminated	FL2	female	15.46	37.4	ApodemusSpeciosusLarge	Fukushima
F72	0.695166667	uncontaminated	uncontaminated	FL1	male	15.85	41.71	ApodemusSpeciosusLarge	Fukushima
F74	0.47675	uncontaminated	uncontaminated	FL1	female	16.31	44.49	ApodemusSpeciosusLarge	Fukushima
F77	0.276833333	uncontaminated	uncontaminated	FL1	female	15.51	37.68	ApodemusSpeciosusLarge	Fukushima
F79	0.286	uncontaminated	uncontaminated	FL1	female	15.03	40.46	ApodemusSpeciosusLarge	Fukushima
F86	0.296	uncontaminated	uncontaminated	FL1	female	15.03	47.96	ApodemusSpeciosusLarge	Fukushima
F88	0.695166667	uncontaminated	uncontaminated	FL1	female	14.52	31.91	ApodemusSpeciosusLarge	Fukushima
F89	0.695166667	uncontaminated	uncontaminated	FL1	female	14.92	40.9	ApodemusSpeciosusLarge	Fukushima
F90	0.701916667	uncontaminated	uncontaminated	FL1	female	15.55	39.26	ApodemusSpeciosusLarge	Fukushima
F1	4.72775	contaminated	contaminated	FH1	male	15.71	42.1	ApodemusSpeciosusLarge	Fukushima
F10	3.6875	contaminated	contaminated	FH2	female	15.76	39.57	ApodemusSpeciosusLarge	Fukushima
F11	5.339916667	contaminated	contaminated	FH2	male	16.04	41.57	ApodemusSpeciosusLarge	Fukushima
F111	11.8845	contaminated	contaminated	FH1	female	15.51	42.21	ApodemusSpeciosusLarge	Fukushima
F114	10.0775	contaminated	contaminated	FH1	female	15.63	44.47	ApodemusSpeciosusLarge	Fukushima
F116	8.970083333	contaminated	contaminated	FH1	female	15.67	44.31	ApodemusSpeciosusLarge	Fukushima
F117	8.970083333	contaminated	contaminated	FH1	female	15.74	35.67	ApodemusSpeciosusLarge	Fukushima
F119	8.558916667	contaminated	contaminated	FH1	female	15.02	41.24	ApodemusSpeciosusLarge	Fukushima
F12	6.483166667	contaminated	contaminated	FH2	female	16.03	45.52	ApodemusSpeciosusLarge	Fukushima
F120	8.970083333	contaminated	contaminated	FH1	male	15.01	34.49	ApodemusSpeciosusLarge	Fukushima
F125	8.558916667	contaminated	contaminated	FH1	female	15.17	48.72	ApodemusSpeciosusLarge	Fukushima
F126	7.355083333	contaminated	contaminated	FH1	female	15.03	39.42	ApodemusSpeciosusLarge	Fukushima
F127	10.0775	contaminated	contaminated	FH1	female	15.01	38.48	ApodemusSpeciosusLarge	Fukushima
F13	5.390416667	contaminated	contaminated	FH2	female	14.5	37.4	ApodemusSpeciosusLarge	Fukushima
F130	8.970083333	contaminated	contaminated	FH1	male	16.71	51.55	ApodemusSpeciosusLarge	Fukushima
F133	7.355083333	contaminated	contaminated	FH1	female	14.95	33.72	ApodemusSpeciosusLarge	Fukushima
F136	8.558916667	contaminated	contaminated	FH1	female	15.62	45.24	ApodemusSpeciosusLarge	Fukushima
F139	8.558916667	contaminated	contaminated	FH1	male	14.9	31.01	ApodemusSpeciosusLarge	Fukushima
F15	5.805833333	contaminated	contaminated	FH2	female	14.68	34.15	ApodemusSpeciosusLarge	Fukushima
F16	8.029666667	contaminated	contaminated	FH2	female	14.66	30.25	ApodemusSpeciosusLarge	Fukushima
F17	5.384833333	contaminated	contaminated	FH2	female	15.16	38.42	ApodemusSpeciosusLarge	Fukushima
F18	8.029666667	contaminated	contaminated	FH2	female	16.08	44.27	ApodemusSpeciosusLarge	Fukushima
F19	5.390416667	contaminated	contaminated	FH2	male	15.65	38.96	ApodemusSpeciosusLarge	Fukushima
F21	4.72775	contaminated	contaminated	FH1	male	14.74	32.69	ApodemusSpeciosusLarge	Fukushima
F22	3.6875	contaminated	contaminated	FH2	female	14.68	36.61	ApodemusSpeciosusLarge	Fukushima
F23	3.6875	contaminated	contaminated	FH2	female	14.79	33.59	ApodemusSpeciosusLarge	Fukushima
F24	8.103916667	contaminated	contaminated	FH2	female	15.38	34.27	ApodemusSpeciosusLarge	Fukushima
F25	4.72775	contaminated	contaminated	FH1	female	15.52	52.98	ApodemusSpeciosusLarge	Fukushima
F26	4.72775	contaminated	contaminated	FH1	male	16.18	45.71	ApodemusSpeciosusLarge	Fukushima
F27	4.72775	contaminated	contaminated	FH1	male	15.59	33.94	ApodemusSpeciosusLarge	Fukushima
F28	6.483166667	contaminated	contaminated	FH2	male	16.68	55.94	ApodemusSpeciosusLarge	Fukushima
F29	5.1825	contaminated	contaminated	FH2	female	15.05	34.77	ApodemusSpeciosusLarge	Fukushima
F3	6.483166667	contaminated	contaminated	FH2	male	15.54	43.42	ApodemusSpeciosusLarge	Fukushima
F31	4.72775	contaminated	contaminated	FH1	female	13.6	37.66	ApodemusSpeciosusLarge	Fukushima
F32	3.6875	contaminated	contaminated	FH2	male	15.85	36.38	ApodemusSpeciosusLarge	Fukushima
F33	4.179583333	contaminated	contaminated	FH2	male	15.58	38.97	ApodemusSpeciosusLarge	Fukushima
F34	5.60775	contaminated	contaminated	FH2	female	14.97	35.39	ApodemusSpeciosusLarge	Fukushima
F35	5.60775	contaminated	contaminated	FH2	female	15.18	39.74	ApodemusSpeciosusLarge	Fukushima
F36	4.705416667	contaminated	contaminated	FH2	male	16.27	55.86	ApodemusSpeciosusLarge	Fukushima
F37	4.734333333	contaminated	contaminated	FH2	male	15.88	51.83	ApodemusSpeciosusLarge	Fukushima
F4	5.1825	contaminated	contaminated	FH2	male	15.93	50.23	ApodemusSpeciosusLarge	Fukushima
F44	10.78275	contaminated	contaminated	FH2	male	16.03	51.68	ApodemusSpeciosusLarge	Fukushima
F46	10.78275	contaminated	contaminated	FH2	female	15.91	57.06	ApodemusSpeciosusLarge	Fukushima
F47	12.795	contaminated	contaminated	FH2	female	15.85	42.28	ApodemusSpeciosusLarge	Fukushima
F48	10.58133333	contaminated	contaminated	FH2	male	16	46.33	ApodemusSpeciosusLarge	Fukushima
F5	5.390416667	contaminated	contaminated	FH2	female	15.22	38.26	ApodemusSpeciosusLarge	Fukushima
F7	5.384833333	contaminated	contaminated	FH2	female	15.31	47.28	ApodemusSpeciosusLarge	Fukushima
F8	5.805833333	contaminated	contaminated	FH2	female	14.96	43.46	ApodemusSpeciosusLarge	Fukushima
F9	8.029666667	contaminated	contaminated	FH2	female	15.15	28.43	ApodemusSpeciosusLarge	Fukushima
F92	15.38325	contaminated	contaminated	FH1	male	15.36	43.75	ApodemusSpeciosusLarge	Fukushima
F93	15.38325	contaminated	contaminated	FH1	male	16.27	48.36	ApodemusSpeciosusLarge	Fukushima
F95	15.38325	contaminated	contaminated	FH1	male	16.07	44.15	ApodemusSpeciosusLarge	Fukushima
